,Худшее время,Среднее время,Лучшее время,Доп. Память,Устойчивость
Сортировка выбором,O(n^2),O(n^2),O(n^2),O(1),Уст/Неуст
Сортировка пузырьком,O(n^2),O(n^2),O(n),O(1),Уст
Сортировка вставками,O(n^2),O(n^2),O(n),O(1),Уст
Гномья сортировка,O(n^2),O(n^2),O(n),O(1),Уст
Сортировка слиянием,O(n log n),O(n log n),O(n log n),O(n),Уст
TimSort,O(n log n),O(n log n),O(n),O(n),Уст
Быстрая сортировка,O(n^2),O(n log n),O(n log n),O(n),Неуст
Сортировка Шелла,O(n^2),---,O(n log^2 n),O(1),Неуст
Сортировка расческой,O(n^2),Ω(n^2/2^p),O(n),O(1),Неуст
Пирамидальная сортировка,O(n log n),O(n log n),O(n log n),O(1),Неуст
